tag1,tag2,post_count
".net","logarithm","7"
".net","zoom","1"
"php","parse-error","1"
"php","phpexcel","1"
"c","logarithm","23"
"c#","biginteger","3"
"c#","polynomial-math","1"
"c++","excel","1"
"c++","numeric","1"
"c++","probability","1"
"c++","sqrt","1"
"python","c++","1"
"python","algorithm","1"
"python","matrix","1"
"python","scale","5"
"java","overflow","1"
"java","spiral","1"
"language-agnostic","math","1"
"vb.net","mschart","1"
"linux","logarithm","1"
"windows","scientific-computing","1"
"arrays","matplotlib","1"
"encryption","math","1"
"mapping","php","1"
"algorithm","language-agnostic","2"
"algorithm","digits","1"
"algorithm","data-structures","1"
"math","c++","10"
"math","algorithm","16"
"math","curve","1"
"math","biginteger","3"
"math","sparql","1"
"math","bignum","1"
"math","scale","1"
"math","polynomial-math","1"
"math","radix","1"
"math","visual-studio-2008","1"
"floating-point","exp","1"
"statistics","graph","2"
"double","logarithm","1"
"int","python","1"
"tree","tree","3"
"tree","recursion","1"
"complexity-theory","list","1"
"complexity-theory","iterated-function","2"
"big-o","complexity-theory","5"
"matlab","performance","1"
"matlab","least-squares","1"
"charts","axes","1"
"html5","charts","1"
"logging","html5","1"
"scheme","scheme","1"
"plot","transformation","1"
"android","java","2"
"label","plot","1"
"axis","python","1"
"axis","highcharts","1"
"visualization","indexing","1"
"fortran","fortran90","2"
"integer","bit-manipulation","1"
"cryptography","cryptography","5"
"for-loop","c++","1"
"ribbon","ggplot2","1"
"regression","logarithm","6"
"logarithm","vb.net","3"
"logarithm","asp.net","1"
"logarithm","iphone","3"
"logarithm","grid","1"
"logarithm","recursion","3"
"logarithm","hash","1"
"logarithm","encoding","1"
"logarithm","cryptography","5"
"logarithm","trigonometry","1"
"logarithm","jquery-ui","1"
"logarithm","analysis","2"
"logarithm","gnuplot","4"
"logarithm","nan","3"
"logarithm","inverse","1"
"logarithm","contour","2"
"logarithm","compiler-optimization","1"
"logarithm","cmath","1"
"logarithm","logistics","1"
"logarithm","sin","1"
"logarithm","equation-solving","2"
"logarithm","python-3.x","3"
"logarithm","constexpr","2"
"logarithm","pandas","2"
"logarithm","javafx-2","2"
"r","logarithm","41"
"r","r-grid","1"
"transformation","logarithm","2"
"image","plot","1"
"graph","algorithm","1"
"graph","graph","8"
"function","formula","1"
"distribution","intervals","1"
"numeric","floating-point","1"
"vector","contour","1"
"character","arrays","1"
"character","logarithm","1"
"idiomatic","c++11","1"
"colors","imshow","1"
"axes","plot","1"
"objective-c","cocoa-touch","1"
"objective-c","logarithm","4"
"objective-c","ios","1"
"acoustics","math","1"
"slider","jquery-ui","1"
"matplotlib","logging","1"
"matplotlib","plot","10"
"matplotlib","axis","1"
"matplotlib","aspect-ratio","1"
"count","arrays","1"
"count","logarithm","1"
"normalization","arrays","1"
"biginteger",".net","3"
"biginteger","bcl","1"
"entropy","logarithm","2"
"lookup-tables","optimization","1"
"jfreechart","logarithm","1"
"nan","c","1"
"digits","numbers","1"
"undefined","entropy","1"
"fractals","logarithm","1"
"char","excel","1"
"rect","plot","1"
"histogram","matlab","1"
"scale","math","1"
"scale","natural-logarithm","1"
"scale","yaxis","1"
"aspect-ratio","aspect-ratio","1"
"sympy","logarithm","1"
"notation","proof","1"
"excel-formula","logarithm","1"
"zero","jquery","1"
"go","logarithm","1"
"time-complexity","math","3"
"time-complexity","nested-loops","2"
"sparse-matrix","logarithm","2"
"mixed-radix","logarithm","1"
"maple","logarithm","1"
"asymptotic-complexity","algorithm","2"
"recurrence-relation","recurrence","1"
"sqrt","sqrt","2"
"javascript","jquery","1"
"javascript","logging","1"
"javascript","d3.js","1"
"javascript","yaxis","1"
"php","optimization","1"
"c","compiler-errors","1"
"c#","c#","18"
"c#","pow","1"
"c++","recursion","1"
"c++","cryptography","1"
"c++","trigonometry","1"
"c++","exp","1"
"c++","natural-logarithm","1"
"ruby","for-loop","1"
"python","import","1"
"python","interpolation","1"
"java","double","1"
"java","rounding","1"
"java","significance","1"
"java","value","1"
"sql","histogram","1"
"sql","polynomial-math","1"
"vb.net","asp.net","1"
"windows","math","1"
"asp.net","logarithm","1"
"arrays","math","1"
"random","perl","1"
"mapping","javascript","1"
"algorithm","excel","1"
"math","javascript","5"
"math","c#","6"
